GEOID,2024 Senior Population
471190112.0,1360
471219602.0,1138
471219603.0,959
471251001.0,94
471251002.0,255
471251003.0,776
471251005.0,918
471251006.01,663
471251006.02,804
471251008.0,280
471251009.0,293
471251010.01,584
471251010.02,581
471251011.01,368
471251011.02,966
471251011.03,410
471251012.01,273
471251012.02,539
471251013.04,546
471251013.05,335
471251013.06,438
471251013.07,372
471251013.08,282
471251013.09,427
471251014.0,45
471251015.01,584
471251015.02,717
471251016.0,1088
471251017.01,701
471251017.02,1044
471251018.03,1565
471251018.05,710
471251018.06,1395
471251018.07,528
471251018.08,975
471251019.02,658
471251019.04,676
471251019.05,812
471251019.06,742
471251020.01,749
471251020.03,379
471251020.04,454
471251020.05,537
471251020.07,177
471251020.08,493
471251020.09,433
471251020.1,385
471251021.0,745
471259801.0,0
471279301.0,919
471279302.0,667
471291101.0,792
471291102.0,859
471319650.0,1010
471339501.0,444
471339502.0,408
471339503.01,1083
471339503.02,704
471339504.0,455
471339505.01,1005
471339505.02,500
471339506.0,665
471359301.0,779
471359302.01,672
471359302.02,621
471379251.01,1026
471379251.02,505
471410001.0,1435
471410002.01,1192
471410002.02,1115
471410003.01,641
471410003.03,415
471410003.04,302
471410003.05,331
471410004.0,992
471410005.0,451
471410006.0,1103
471410007.0,559
471410008.0,365
471410009.0,1254
471410010.0,841
471410011.0,1521
471410012.01,1342
471410012.02,870
471410013.0,577
471439750.0,1413
471439751.0,1298
471439752.0,1335
471439753.0,1229
471439754.01,1079
471439754.02,739
471470801.01,779
471470801.03,1252
471470801.04,1427
471470802.0,1110
471470803.01,554
471470803.02,494
471470804.01,665
471470804.02,1003
471470805.0,1030
471470806.03,987
471470806.04,855
471470806.05,532
471470806.06,1084
471470807.01,681
471470807.02,834
471490401.01,376
471490401.02,349
471490401.04,555
471490401.05,440
471490401.06,235
471490401.07,303
471490402.0,472
471490403.03,342
471490403.04,431
471490403.05,381
471490403.07,587
471490403.08,940
471490403.09,868
471490403.1,654
471490403.11,673
471490403.12,145
471490404.04,651
471490404.05,389
471490405.01,1237
471490405.02,1272
471490406.0,1029
