GEOID,2024 Population Density
471099305.02,172.9
471099306.0,35.1
471099307.0,41.6
471119701.0,52.9
471119702.0,95.7
471119703.01,511.9
471119703.02,75.4
471119704.0,78.6
471130001.0,804.3
471130002.0,1427.7
471130003.0,1181.4
471130004.0,1962.9
471130005.0,2738.6
471130006.0,3376.9
471130007.0,2584.8
471130008.0,1064.6
471130009.0,2140.7
471130010.0,1739.5
471130011.0,622.8
471130013.0,249.8
471130014.01,69.2
471130014.02,101.0
471130015.01,352.7
471130015.02,53.9
471130016.03,1706.3
471130016.04,1402.4
471130016.05,889.9
471130016.07,754.6
471130016.08,144.8
471130016.09,61.1
471130016.1,747.8
471130016.11,718.7
471130016.12,2788.9
471130017.0,16.4
471130018.0,29.0
471130019.0,55.8
471150501.01,40.6
471150501.02,69.3
471150502.01,73.3
471150502.03,30.8
471150502.04,210.5
471150503.02,23.7
471179550.0,132.1
471179551.0,60.8
471179552.0,106.5
471179553.0,1877.1
471179554.0,1229.1
471179555.0,38.5
471190101.0,37.3
471190102.01,272.9
471190102.03,672.8
471190102.04,1966.7
471190102.05,151.7
471190103.01,278.1
471190103.02,88.7
471190104.01,1272.8
471190104.02,372.4
471190105.0,454.5
471190106.0,1797.9
471190107.0,2673.3
471190108.01,1211.7
471190108.02,554.0
471190109.0,41.9
471190110.01,73.4
471190110.03,64.3
471190110.04,220.1
471190111.01,295.2
471190111.02,157.1
471190112.0,64.0
471219602.0,80.6
471219603.0,66.1
471251001.0,3834.0
471251002.0,1973.7
471251003.0,1450.8
471251005.0,1884.7
471251006.01,955.2
471251006.02,2812.5
471251008.0,2369.2
471251009.0,957.0
471251010.01,2902.4
471251010.02,1509.6
471251011.01,3439.5
471251011.02,2074.4
471251011.03,548.6
471251012.01,2733.3
471251012.02,1742.6
471251013.04,3289.6
471251013.05,1297.7
471251013.06,2706.5
471251013.07,4011.4
471251013.08,4668.4
471251013.09,4393.9
471251014.0,1001.6
471251015.01,218.2
471251015.02,85.5
471251016.0,193.0
