GEOID,2024 Senior Population
471650205.03,1339
471650206.01,1439
471650206.02,1629
471650206.03,1425
471650207.00,1877
471650208.00,1619
471650209.01,486
471650209.03,2122
471650209.04,960
471650209.05,1093
471650210.02,2526
471650210.04,971
471650210.05,2233
471650210.06,1340
471650210.07,1105
471650210.08,2000
471650210.09,1613
471650211.03,1884
471650211.04,559
471650211.05,1457
471650211.06,1449
471650211.07,1814
471650212.01,2674
471650212.03,3332
471650212.04,2515
471650212.05,1402
471690901.00,2570
471690902.00,874
471759250.00,1310
471759252.00,1269
471779301.00,1423
471779302.01,1135
471779302.02,1167
471779303.00,910
471779304.00,1836
471779305.00,1564
471779306.00,1372
471779307.00,1611
471779308.00,2288
471779309.00,712
471819501.00,1361
471819502.00,1966
471819503.00,1252
471819504.00,1221
471839680.00,466
471839681.01,1053
471839681.02,648
471839682.01,1614
471839682.02,159
471839682.03,575
471839683.00,811
471839684.00,2045
471839685.00,1559
471839686.00,1247
471839687.00,532
471859350.00,1796
471859351.00,2288
471859352.00,1664
471859353.00,1954
471859354.00,1259
471859355.00,1319
471870501.02,1690
471870501.03,2579
471870501.04,1367
471870501.05,2068
471870502.04,1557
471870502.05,1259
471870502.06,1074
471870502.07,1417
471870502.09,1323
471870502.10,1290
471870502.11,1398
471870502.12,660
471870503.03,1123
471870503.04,968
471870503.05,1032
471870503.06,690
471870503.07,1357
471870504.03,781
471870504.04,2316
471870504.05,1340
471870504.06,2057
471870505.02,1837
471870505.03,1849
471870505.04,1197
471870506.01,1930
471870506.03,1024
471870506.04,3284
471870507.01,1161
471870507.02,1516
471870508.01,1429
471870508.02,694
471870509.04,1423
471870509.05,1777
471870509.06,1898
471870509.07,2086
471870509.08,1758
471870509.09,1612
471870510.01,2277
471870510.02,3153
471870511.00,3689
471870512.03,1449
471870512.04,1798
471870512.05,1921
471870512.06,1767
471870512.07,1208
471870512.08,1744
471890301.02,2625
471890301.03,1145
471890301.04,937
471890301.05,1362
471890302.02,4654
471890302.03,1817
471890302.05,810
471890302.06,1767
471890302.07,792
471890303.03,1780
471890303.04,2252
471890303.05,2015
471890303.08,1226
471890303.09,2186
471890303.10,1842
471890303.11,1185
471890304.01,770
471890304.02,1283
471890305.00,2617
471890306.00,1357
471890307.00,1069
471890308.00,2271
471890309.04,1504
471890309.05,1764
471890309.06,2175
471890309.07,3443
471890309.08,1936
471890310.00,2137
