GEOID,2029 Total Population
471410002.01,6326
471410002.02,5366
471410003.01,3290
471410003.03,2676
471410003.04,4768
471410003.05,2730
471410004.0,4487
471410005.0,2314
471410006.0,4550
471410007.0,3928
471410008.0,6653
471410009.0,7729
471410010.0,4192
471410011.0,8671
471410012.01,6229
471410012.02,4377
471410013.0,2258
471439750.0,5233
471439751.0,5091
471439752.0,6989
471439753.0,6226
471439754.01,7190
471439754.02,3858
471470801.01,4568
471470801.03,10408
471470801.04,8319
471470802.0,6596
471470803.01,3853
471470803.02,3417
471470804.01,5482
471470804.02,5744
471470805.0,5558
471470806.03,5127
471470806.04,4369
471470806.05,3079
471470806.06,6404
471470807.01,3709
471470807.02,4462
471490401.01,5390
471490401.02,4560
471490401.04,6417
471490401.05,4918
471490401.06,5009
471490401.07,5599
471490402.0,4341
471490403.03,2776
471490403.04,3250
471490403.05,3423
471490403.07,3948
471490403.08,8057
471490403.09,7095
471490403.1,5383
471490403.11,3834
471490403.12,3875
471490404.04,3875
471490404.05,4282
471490405.01,11063
471490405.02,8906
471490406.0,5567
471490407.02,8618
471490407.03,12616
471490407.04,6282
471490408.06,12281
471490408.07,12585
471490408.08,16972
471490408.09,6570
471490408.1,3503
471490408.11,11004
471490408.12,5826
471490409.01,8071
471490409.04,7465
471490409.06,8362
471490409.07,14353
471490409.08,7799
471490409.09,7808
471490409.1,6730
471490409.11,9766
471490410.0,10381
471490411.02,3880
471490411.03,5523
471490411.04,5793
471490412.01,7583
471490412.02,7454
471490413.01,7921
471490413.02,6001
471490414.01,5362
471490414.04,4421
471490414.05,2605
471490414.06,5750
471490414.07,5302
471490415.0,2605
471490416.01,3681
471490416.02,2681
471490417.0,5275
471490418.0,5064
471490419.0,4777
471490420.0,5901
471490421.01,7090
471490421.02,5280
471490422.0,5939
471490423.01,6501
471490423.02,5893
471530601.02,3201
471530601.03,4850
471530601.04,4986
471530602.0,5396
471599750.0,4346
471599751.0,3029
471599752.0,6249
471599753.0,2520
471599754.0,4919
471611102.01,4940
471611102.02,1766
471611106.0,2613
471611107.0,4927
471619801.0,2
471619802.0,0
471650201.01,4203
471650201.02,5404
471650202.03,2687
471650202.04,4025
471650202.05,3180
471650202.06,1618
471650202.07,1914
471650202.08,2791
471650202.09,2590
471650203.0,5679
471650204.03,2431
471650204.04,2443
471650204.05,3398
471650204.06,4298
471650204.07,6161
471650205.01,16236
471650205.02,9305
471650205.03,4978
471650206.01,3753
471650206.02,5613
471650206.03,3799
471650207.0,5730
471650208.0,9602
471650209.01,1377
471650209.03,5458
471650209.04,4056
471650209.05,4537
471650210.02,8992
471650210.04,3719
471650210.05,6097
471650210.06,4016
471650210.07,5841
471650210.08,10534
471650210.09,5987
471650211.03,6064
471650211.04,2107
471650211.05,6642
471650211.06,4091
471650211.07,5883
471650212.01,7934
471650212.03,10062
471650212.04,8129
471650212.05,3245
471690901.0,9780
471690902.0,3555
471759250.0,3780
471759252.0,2975
471779301.0,3914
471779302.01,3312
471779302.02,3976
471779303.0,2798
471779304.0,6081
471779305.0,5204
471779306.0,3754
471779307.0,5385
471779308.0,6994
471779309.0,1956
471819501.0,4351
471819502.0,5275
471819503.0,3287
471819504.0,3126
471839680.0,1048
471839681.01,3419
471839681.02,1866
471839682.01,4600
471839682.02,2063
471839682.03,2939
471839683.0,1992
471839684.0,5478
471839685.0,4388
471839686.0,3308
471839687.0,1356
471859350.0,4724
471859351.0,6673
471859352.0,4760
471859353.0,5411
471859354.0,3742
471859355.0,3939
471870501.02,10268
471870501.03,9914
471870501.04,6193
471870501.05,11694
471870502.04,6160
471870502.05,3931
471870502.06,3708
471870502.07,5054
471870502.09,4554
471870502.1,3173
471870502.11,7393
471870502.12,2242
471870503.03,3350
471870503.04,2699
471870503.05,2972
471870503.06,2324
471870503.07,4197
471870504.03,2131
471870504.04,7408
471870504.05,6685
471870504.06,6592
471870505.02,5233
471870505.03,6650
471870505.04,5339
471870506.01,6481
471870506.03,3482
471870506.04,12994
471870507.01,4554
471870507.02,4947
471870508.01,5423
471870508.02,1668
471870509.04,5558
471870509.05,8501
471870509.06,5935
471870509.07,6726
471870509.08,5818
471870509.09,6190
471870510.01,10888
471870510.02,16733
471870511.0,12741
471870512.03,3749
471870512.04,8630
471870512.05,12495
471870512.06,9477
471870512.07,9326
471870512.08,11046
471890301.02,8143
471890301.03,3822
471890301.04,2755
471890301.05,6549
471890302.02,16490
471890302.03,9353
471890302.05,2406
471890302.06,9863
471890302.07,2536
471890303.03,4433
471890303.04,8117
471890303.05,5108
471890303.08,5695
471890303.09,7665
471890303.1,8902
471890303.11,3543
471890304.01,2938
471890304.02,5200
471890305.0,10482
471890306.0,4456
471890307.0,3728
471890308.0,7463
471890309.04,4379
471890309.05,6043
471890309.06,6479
471890309.07,10195
471890309.08,10653
471890310.0,6609
