origin_FIPS,origin_county,destination_FIPS,destination_county,people_inflow,agi_inflow,agi_capita_inflow,year
47119,"Maury County, TN",47037,"Davidson County, TN",407,17142000,42117.936117936115,2022
06059,"Orange County, CA",47037,"Davidson County, TN",349,35835000,102679.08309455587,2022
47065,"Hamilton County, TN",47037,"Davidson County, TN",343,16240000,47346.93877551021,2022
04013,"Maricopa County, AZ",47037,"Davidson County, TN",339,19516000,57569.32153392331,2022
13121,"Fulton County, GA",47037,"Davidson County, TN",299,23647000,79086.95652173914,2022
06073,"San Diego County, CA",47037,"Davidson County, TN",325,26125000,80384.61538461539,2022
48201,"Harris County, TX",47037,"Davidson County, TN",345,35468000,102805.79710144928,2022
36061,"New York County, NY",47037,"Davidson County, TN",275,30296000,110167.27272727272,2022
48453,"Travis County, TX",47037,"Davidson County, TN",254,34680000,136535.43307086613,2022
53033,"King County, WA",47037,"Davidson County, TN",301,27832000,92465.11627906977,2022
47043,"Dickson County, TN",47037,"Davidson County, TN",304,11615000,38207.23684210526,2022
48113,"Dallas County, TX",47037,"Davidson County, TN",239,14480000,60585.77405857741,2022
01073,"Jefferson County, AL",47037,"Davidson County, TN",229,13528000,59074.23580786026,2022
37119,"Mecklenburg County, NC",47037,"Davidson County, TN",214,18963000,88612.14953271027,2022
01089,"Madison County, AL",47037,"Davidson County, TN",227,10592000,46660.79295154185,2022
21227,"Warren County, KY",47037,"Davidson County, TN",205,13080000,63804.87804878049,2022
36047,"Kings County, NY",47037,"Davidson County, TN",214,15989000,74714.95327102803,2022
12095,"Orange County, FL",47037,"Davidson County, TN",202,7997000,39589.10891089109,2022
12057,"Hillsborough County, FL",47037,"Davidson County, TN",189,10758000,56920.63492063492,2022
12099,"Palm Beach County, FL",47037,"Davidson County, TN",193,12379000,64139.896373056996,2022
18097,"Marion County, IN",47037,"Davidson County, TN",186,8729000,46930.10752688172,2022
39049,"Franklin County, OH",47037,"Davidson County, TN",193,20141000,104357.51295336787,2022
08031,"Denver County, CO",47037,"Davidson County, TN",164,17672000,107756.09756097561,2022
12011,"Broward County, FL",47037,"Davidson County, TN",197,16075000,81598.98477157361,2022
21111,"Jefferson County, KY",47037,"Davidson County, TN",184,11172000,60717.391304347824,2022
32003,"Clark County, NV",47037,"Davidson County, TN",209,27590000,132009.56937799044,2022
